,t,n_start,n_end,weight,active
1830,t915,n268,n916,0,1
1831,t916,n5,n917,0,1
1832,t916,n35,n917,0,1
1833,t917,n208,n918,0,1
1834,t917,n801,n918,0,1
1835,t918,n64,n919,0,1
1836,t918,n130,n919,0,1
1837,t919,n115,n920,0,1
1838,t919,n7,n920,0,1
1839,t920,n46,n921,0,1
1840,t920,n85,n921,0,1
1841,t921,n36,n922,0,1
1842,t921,n133,n922,0,1
1843,t922,n3,n923,0,1
1844,t922,n270,n923,0,1
1845,t923,n73,n924,0,1
1846,t923,n350,n924,0,1
1847,t924,n39,n925,0,1
1848,t924,n0,n925,0,1
1849,t925,n24,n926,0,1
1850,t925,n64,n926,0,1
1851,t926,n2,n927,0,1
1852,t926,n834,n927,0,1
1853,t927,n5,n928,0,1
1854,t927,n394,n928,0,1
1855,t928,n5,n929,0,1
1856,t928,n74,n929,0,1
1857,t929,n857,n930,0,1
1858,t929,n7,n930,0,1
1859,t930,n576,n931,0,1
1860,t930,n264,n931,0,1
1861,t931,n435,n932,0,1
1862,t931,n272,n932,0,1
1863,t932,n85,n933,0,1
1864,t932,n928,n933,0,1
1865,t933,n6,n934,0,1
1866,t933,n2,n934,0,1
1867,t934,n576,n935,0,1
1868,t934,n339,n935,0,1
1869,t935,n24,n936,0,1
1870,t935,n2,n936,0,1
1871,t936,n6,n937,0,1
1872,t936,n434,n937,0,1
1873,t937,n478,n938,0,1
1874,t937,n2,n938,0,1
1875,t938,n514,n939,0,1
1876,t938,n74,n939,0,1
1877,t939,n3,n940,0,1
1878,t939,n460,n940,0,1
1879,t940,n64,n941,0,1
1880,t940,n200,n941,0,1
1881,t941,n6,n942,0,1
1882,t941,n211,n942,0,1
1883,t942,n6,n943,0,1
1884,t942,n135,n943,0,1
1885,t943,n2,n944,0,1
1886,t943,n778,n944,0,1
1887,t944,n51,n945,0,1
1888,t944,n605,n945,0,1
1889,t945,n150,n946,0,1
1890,t945,n2,n946,0,1
1891,t946,n5,n947,0,1
1892,t946,n3,n947,0,1
1893,t947,n55,n948,0,1
1894,t947,n163,n948,0,1
1895,t948,n859,n949,0,1
1896,t948,n870,n949,0,1
1897,t949,n36,n950,0,1
1898,t949,n5,n950,0,1
1899,t950,n3,n951,0,1
1900,t950,n229,n951,0,1
1901,t951,n318,n952,0,1
1902,t951,n64,n952,0,1
1903,t952,n72,n953,0,1
1904,t952,n483,n953,0,1
1905,t953,n616,n954,0,1
1906,t953,n3,n954,0,1
1907,t954,n4,n955,0,1
1908,t954,n486,n955,0,1
1909,t955,n86,n956,0,1
1910,t955,n598,n956,0,1
1911,t956,n35,n957,0,1
1912,t956,n870,n957,0,1
1913,t957,n108,n958,0,1
1914,t957,n796,n958,0,1
1915,t958,n19,n959,0,1
1916,t958,n5,n959,0,1
1917,t959,n24,n960,0,1
1918,t959,n518,n960,0,1
1919,t960,n3,n961,0,1
1920,t960,n448,n961,0,1
1921,t961,n521,n962,0,1
1922,t961,n6,n962,0,1
1923,t962,n147,n963,0,1
1924,t962,n3,n963,0,1
1925,t963,n24,n964,0,1
1926,t963,n5,n964,0,1
1927,t964,n435,n965,0,1
1928,t964,n3,n965,0,1
1929,t965,n417,n966,0,1
1930,t965,n394,n966,0,1
1931,t966,n5,n967,0,1
1932,t966,n51,n967,0,1
1933,t967,n449,n968,0,1
1934,t967,n311,n968,0,1
1935,t968,n5,n969,0,1
1936,t968,n24,n969,0,1
1937,t969,n892,n970,0,1
1938,t969,n43,n970,0,1
1939,t970,n270,n971,0,1
1940,t970,n216,n971,0,1
1941,t971,n696,n972,0,1
1942,t971,n622,n972,0,1
1943,t972,n6,n973,0,1
1944,t972,n475,n973,0,1
1945,t973,n5,n974,0,1
1946,t973,n209,n974,0,1
1947,t974,n19,n975,0,1
1948,t974,n6,n975,0,1
1949,t975,n739,n976,0,1
1950,t975,n77,n976,0,1
1951,t976,n64,n977,0,1
1952,t976,n81,n977,0,1
1953,t977,n36,n978,0,1
1954,t977,n957,n978,0,1
1955,t978,n965,n979,0,1
1956,t978,n204,n979,0,1
1957,t979,n76,n980,0,1
1958,t979,n46,n980,0,1
1959,t980,n702,n981,0,1
1960,t980,n6,n981,0,1
1961,t981,n892,n982,0,1
1962,t981,n14,n982,0,1
1963,t982,n340,n983,0,1
1964,t982,n422,n983,0,1
1965,t983,n749,n984,0,1
1966,t983,n86,n984,0,1
1967,t984,n889,n985,0,1
1968,t984,n17,n985,0,1
1969,t985,n604,n986,0,1
1970,t985,n601,n986,0,1
1971,t986,n5,n987,0,1
1972,t986,n2,n987,0,1
1973,t987,n91,n988,0,1
1974,t987,n734,n988,0,1
1975,t988,n229,n989,0,1
1976,t988,n394,n989,0,1
1977,t989,n7,n990,0,1
1978,t989,n955,n990,0,1
1979,t990,n2,n991,0,1
1980,t990,n5,n991,0,1
1981,t991,n163,n992,0,1
1982,t991,n204,n992,0,1
1983,t992,n2,n993,0,1
1984,t992,n46,n993,0,1
1985,t993,n7,n994,0,1
1986,t993,n6,n994,0,1
1987,t994,n327,n995,0,1
1988,t994,n441,n995,0,1
1989,t995,n565,n996,0,1
1990,t995,n636,n996,0,1
1991,t996,n588,n997,0,1
1992,t996,n43,n997,0,1
1993,t997,n133,n998,0,1
1994,t997,n5,n998,0,1
1995,t998,n967,n999,0,1
