,t,label,d,f
81,t80,n81,6,0.5500584898969222
82,t81,n82,31,0.7416555386834938
83,t82,n83,154,0.8645059471061183
84,t83,n84,23,0.610739703434919
85,t84,n85,5,0.3070777833099061
86,t85,n86,4,0.329388334139629
87,t86,n87,102,0.7804726591489385
88,t87,n88,31,0.6383919378219116
89,t88,n89,5,0.13478053967084314
90,t89,n90,2,0.31773856778804876
91,t90,n91,3,0.40843277041795334
92,t91,n92,2,0.04790586232994254
93,t92,n93,9,0.3348091978697746
94,t93,n94,2,0.3157562303275462
95,t94,n95,3,0.09355469063046884
96,t95,n96,56,0.8840625981486017
97,t96,n97,32,0.776296957926388
98,t97,n98,52,0.9652640992387316
99,t98,n99,9,0.674275679318992
100,t99,n100,42,0.7214067740715047
101,t100,n101,24,0.632238932674916
102,t101,n102,21,0.5078801278307621
103,t102,n103,3,0.014280540670140396
104,t103,n104,17,0.821757412900776
105,t104,n105,10,0.341673038805844
106,t105,n106,13,0.7129369146893394
107,t106,n107,3,0.09957494845633252
108,t107,n108,4,0.21903910357872947
109,t108,n109,3,0.41060252915918183
110,t109,n110,187,0.96870992323466
111,t110,n111,46,0.9333426135593338
112,t111,n112,20,0.7905140376709058
113,t112,n113,9,0.4382627775104755
114,t113,n114,29,0.6756347933075431
115,t114,n115,38,0.8099693719605029
116,t115,n116,2,0.18091683937491787
117,t116,n117,11,0.8771922756289576
118,t117,n118,2,0.03688725330267906
119,t118,n119,29,0.7986508868399621
120,t119,n120,12,0.6641079119727396
121,t120,n121,28,0.7093952791458427
122,t121,n122,36,0.6999433426580896
123,t122,n123,21,0.8617562012616942
124,t123,n124,25,0.8561266700070257
125,t124,n125,7,0.36209018288960526
126,t125,n126,35,0.6987782543215617
127,t126,n127,16,0.3752518423205088
128,t127,n128,2,0.027253016096700833
129,t128,n129,37,0.967221951628382
130,t129,n130,2,0.3744557766618961
131,t130,n131,3,0.24273384921878594
132,t131,n132,2,0.15482630734850222
133,t132,n133,6,0.42648980734466835
134,t133,n134,11,0.5521159859565612
135,t134,n135,23,0.6504116601869258
136,t135,n136,2,0.07727226461412495
137,t136,n137,6,0.34242476528385823
138,t137,n138,5,0.3046948171913805
139,t138,n139,21,0.6059293423637891
140,t139,n140,14,0.5667301231527128
141,t140,n141,4,0.5217945169243472
142,t141,n142,2,0.009999730122061568
143,t142,n143,3,0.15405634463590923
144,t143,n144,9,0.9484488208335984
145,t144,n145,6,0.4953708692568828
146,t145,n146,5,0.4542457695892148
147,t146,n147,8,0.7796003638762222
148,t147,n148,2,0.599829335856809
149,t148,n149,3,0.4176131039223647
150,t149,n150,5,0.4325814896992537
151,t150,n151,2,0.18118452750866487
